H-A-IS-ID-1sv,6618367.431,597029.729,109.189
H-A-IS-ID-1no,6618368.304,597030.773,109.081
H-A-IS-ID-2sv,6618366.355,597034.555,107.668
H-A-IS-ID-2no,6618367.229,597035.622,107.258
H-B-S-ID-1sv,6618370.771,597028.493,109.719
H-B-S-ID-1no,6618371.512,597029.56,109.568
H-B-S-D-1sv,6618370.167,597030.616,109.328
H-B-S-D-1no,6618371.084,597031.679,109.039
H-C-IS-D-1sv,6618373.31,597029.444,109.693
H-C-IS-D-1no,6618374.1,597030.574,109.546
H-C-IS-ID-1sv,6618372.864,597031.327,109.239
H-C-IS-ID-1no,6618373.732,597032.364,109.022
H-C-IS-D-2sv,6618372.279,597033.57,108.447
H-C-IS-D-2no,6618373.324,597034.445,108.208
H-C-IS-D-3sv,6618372.867,597035.93,107.63
H-C-IS-D-3no,6618373.858,597036.778,107.475
H-D-S-ID-1sv,6618376.05,597028.589,109.976
H-D-S-ID-1no,6618376.839,597029.682,109.825
H-D-S-D-1sv,6618375.667,597031.607,109.324
H-D-S-D-1no,6618376.626,597032.612,109.045
H-D-S-ID-2sv,6618375.318,597033.483,108.689
H-D-S-ID-2no,6618376.191,597034.469,108.385
H-D-S-D-2sv,6618374.608,597036.858,107.464
H-D-S-D-2no,6618375.624,597037.759,107.259
H-E-IS-D-1sv,6618378.865,597029.263,109.948
H-E-IS-D-1no,6618379.879,597030.149,109.894
H-E-IS-ID-1sv,6618379.34,597032.224,109.289
H-E-IS-ID-1no,6618380.17,597033.274,108.994
H-E-IS-D-2sv,6618379.286,597034.062,108.667
H-E-IS-D-2no,6618380.347,597034.891,108.375
H-E-IS-ID-2sv,6618378.917,597036.372,107.916
H-E-IS-ID-2no,6618379.968,597037.206,107.657
H-F-S-ID-1sv,6618381.836,597029.975,109.902
H-F-S-ID-1no,6618382.749,597030.916,109.665
H-F-S-D-1sv,6618382.066,597031.555,109.78
H-F-S-D-1no,6618382.948,597032.425,109.4
H-F-S-D-2sv,6618381.9,597035.599,108.166
H-F-S-D-2no,6618382.924,597036.467,107.948
H-F-S-ID-2sv,6618381.983,597037.741,107.521
H-F-S-ID-2no,6618382.941,597038.752,107.24
H-B-1,6618369.973,597019.664,110.374
H-B-2,6618372.863,597019.369,110.386
H-B-3,6618368.858,597031.899,108.721
H-B-4,6618371.583,597032.469,108.893
H-B-5,6618367.739,597037.361,106.755
H-B-6,6618370.484,597038.913,106.613
H-D-1,6618375.9,597020.043,110.378
H-D-2,6618378.957,597023.82,110.391
H-D-3,6618374.759,597032.968,108.935
H-D-4,6618377.959,597033.155,108.938
H-D-5,6618373.715,597039.539,106.581
H-D-6,6618376.666,597039.841,106.623
H-F-1,6618381.947,597024.455,110.344
H-F-2,6618384.605,597027.328,110.069
H-F-3,6618381.02,597033.291,108.992
H-F-4,6618383.842,597032.11,109.56
H-F-5,6618380.663,597039.958,106.712
H-F-6,6618383.602,597039.712,106.988
